seed,n_cities,best_distance,time_sec
13,30,508.7855866557443,0.9542350769042969
14,30,500.53256605380693,0.9343175888061523
15,30,504.2587504983196,0.9387125968933105
16,30,494.2385775336589,0.9448320865631104
17,30,487.68420703141214,0.9424452781677246
18,30,493.0315234796972,0.9568641185760498
19,30,485.12701950198675,0.9171967506408691
20,30,506.10192015222617,0.9674463272094727
1,35,476.2451437340567,3.44343900680542
2,35,472.95554506386316,3.3972203731536865
3,35,474.0958818128151,3.4116299152374268
4,35,466.8890745647266,3.405430555343628
5,35,466.8890745647268,3.4218950271606445
6,35,467.291568532517,3.719869375228882
7,35,464.16828416803753,3.4085886478424072
8,35,466.8890745647267,3.4278459548950195
9,35,466.8890745647267,3.4726505279541016
10,35,466.8890745647267,3.4405109882354736
11,35,466.8890745647267,3.4669735431671143
12,35,467.291568532517,3.451960802078247
13,35,467.291568532517,3.4463586807250977
14,35,481.24647068553674,3.4613614082336426
15,35,467.2915685325171,3.7869577407836914
16,35,466.8890745647267,3.4473142623901367
17,35,466.8890745647267,3.507139205932617
18,35,466.8890745647267,3.4558262825012207
19,35,466.8890745647267,3.6299922466278076
20,35,466.8890745647267,3.4182183742523193
1,40,503.94024208625524,3.1315343379974365
2,40,518.4129884849034,3.1043078899383545
3,40,514.9253779973095,3.427445888519287
4,40,537.012900050982,3.1459219455718994
5,40,531.5878518637753,3.131093740463257
6,40,498.9522871526411,3.1433656215667725
7,40,518.2181861314734,3.15040922164917
8,40,523.1799719286065,3.1386802196502686
9,40,524.8639608235718,3.143918037414551
10,40,500.3450276107221,3.141787052154541
11,40,531.492058214572,3.1237902641296387
12,40,506.82775094373613,3.1694839000701904
13,40,518.5343102469676,3.1249656677246094
14,40,503.2803169240202,3.193438768386841
15,40,525.3239938383525,3.1005825996398926
16,40,533.7434236791573,3.1735947132110596
17,40,498.3448533396027,3.137955665588379
18,40,522.7247018834069,3.141770124435425
19,40,531.5312634161525,3.169734239578247
20,40,513.5952192340451,3.144369125366211
1,45,543.7159411540126,2.476578712463379
2,45,537.8321433971121,2.695640802383423
3,45,551.3706842112749,2.5842525959014893
4,45,550.1009942145492,2.420647382736206
5,45,545.8374306107163,2.4458653926849365
6,45,549.5774263144737,2.4471654891967773
7,45,533.5685797932792,2.4402072429656982
8,45,550.1009942145492,2.501291275024414
9,45,549.1547341761848,2.444768190383911
10,45,545.3138627106409,2.4383115768432617
11,45,533.5685797932792,2.4461474418640137
12,45,541.6077212767515,2.4287004470825195
13,45,536.5174599289426,2.4330739974975586
14,45,545.3138627106409,2.4641051292419434
15,45,537.8321433971122,2.4425532817840576
16,45,549.5774263144737,2.4265682697296143
17,45,537.8321433971121,2.441716432571411
18,45,543.9781561508105,2.4229648113250732
19,45,537.8323624984857,2.453618288040161
20,45,537.8321433971121,2.4523518085479736
1,50,566.7510173441117,5.596036434173584
2,50,568.6110922879994,5.558431148529053
3,50,566.7510173441119,5.885603427886963
4,50,569.0638828175007,5.558682918548584
5,50,568.8896381398572,5.719380140304565
6,50,566.7510173441119,5.5409204959869385
7,50,569.0638828175007,5.599873304367065
8,50,566.751017344112,5.525541067123413
9,50,567.6165193207537,5.5887510776519775
10,50,566.7510173441119,5.5230536460876465
11,50,568.2205125410828,5.576536178588867
12,50,569.3767321283398,5.567765951156616
13,50,570.8503873876698,5.546331167221069
14,50,569.1902907602562,5.833712816238403
15,50,566.7510173441117,5.573009014129639
16,50,566.7510173441121,5.579674482345581
17,50,564.6260745360245,5.5734124183654785
18,50,570.4425471048279,5.559793949127197
19,50,570.0568019588579,5.5629003047943115
20,50,570.7360350960869,5.576352119445801
